"Product Id","Handle","Title","Type","Theme","PriceMin","PriceMax","CompareAt","Sizes","Vendor","Published","Stock Status","Tags","PromoteStatus","PromotePhase"
"'1000000666337527'","vibrant-cats-everywhere-capri-leggings","Vibrant Cats Everywhere Capri Leggings","Capri Leggings","Cat","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,all-over print,animal print,animals,bright leggings,capri leggings,cartoon cats,cat capri leggings,cat print,colorful leggings,fitness apparel,dakofits,gym leggings,leggings,printed leggings,vibrant print,women's activewear,women's leggings,yoga pants","",""
"'1000000665906765'","bright-white-cat-capris","Bright White Cat Capris","Capris","Cat","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","animal,bright,capri,cat,colorful,colorful vibrant,mysterybox,vibrant,white","",""
"'1000000665805871'","cat-capris","Cat Capris","Capris","Cat","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","animal,capri,cat,mysterybox","",""
"'1000000665906783'","cute-kitties-capris","Cute Kitties Capris","Capris","Cat","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,animal,capri,capris,cat,colorful,colorful vibrant,cute,mysterybox,pink,sport,sports,white,yoga,zen,zen yoga","",""
"'1000000665912615'","kawaii-lucky-cat-capris","Kawaii - Lucky Cat Capris","Capris","Cat","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,animal,capri,capris,colorful,colorful vibrant,edm,edm wear,japanese,kawaii,lucky cat,oriental,pink,sport,sports,yoga,zen,zen yoga","",""
"'1000000665912436'","lucky-cat-capris","Lucky Cat Capris","Capris","Cat","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,animal,bright,capri,capris,colorful,colorful vibrant,japanese,lucky cat,oriental,pink,sport,sports,yoga,zen","",""
"'1000000665906451'","scratching-cat-capris","Scratching Cat Capris","Capris","Cat","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,animal,black,brown,capri,capris,cat,cats,mysterybox,scratching,sport,sports","",""
"'1000000665906032'","vibrant-space-cat-capris","Vibrant Space Cat Capris","Capris","Cat","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","animal,capri,cat,colorful vibrant,mysterybox,spacecat,vibrant","",""
"'1000000666337407'","anime-collage-cat-cafe-flare-leggings","Anime Cat Cafe Flare Leggings","Flare Leggings","Cat","93.99","93.99","112.79","2XS/XS/S/M/L/XL/2XL/3XL/4XL/5XL/6XL","DAKOfits","TRUE","","activewear,all-over print,anime,anime cat leggings,anime flare leggings,cafe,cat cafe leggings,cats,flare leggings,funky leggings,dakofits,gym leggings,leggings,printed leggings,women's leggings,workout leggings,yoga pants","",""
"'1000000666338263'","anime-collage-cat-cafe-flare-leggings-1","Anime Collage Cat Cafe Flare Leggings","Flare Leggings","Cat","93.99","93.99","112.79","2XS/XS/S/M/L/XL/2XL/3XL/4XL/5XL/6XL","DAKOfits","TRUE","","all-over print,anime,anime activewear,anime flare leggings,athleisure,bold leggings,cat cafe leggings,colorful leggings,comfort leggings,flare leggings,dakofits,gym wear,high waist leggings,original art leggings,patterned leggings,street style,unique print,vibrant print,women's activewear,workout leggings,yoga leggings","",""
"'1000000666337537'","black-cat-constellation-flare-leggings","Black Cat Constellation Flare Leggings","Flare Leggings","Cat","93.99","93.99","112.79","2XS/XS/S/M/L/XL/2XL/3XL/4XL/5XL/6XL","DAKOfits","TRUE","","activewear,all-over print,athleisure,black cat flare leggings,cat leggings,celestial leggings,constellation leggings,flare leggings,dakofits,gift for her,gym leggings,high waisted leggings,leggings,space leggings,training leggings,women's activewear,workout leggings,yoga pants","",""
"'1000000666338125'","kawaii-space-cats-flare-leggings-1","Kawaii Space Cats Flare Leggings","Flare Leggings","Cat","93.99","93.99","112.79","2XS/XS/S/M/L/XL/2XL/3XL/4XL/5XL/6XL","DAKOfits","TRUE","","all-over print,casual leggings,comfortable leggings,cute leggings,fitness fashion,flare leggings,fun leggings,dakofits,graphic leggings,high-waist leggings,kawaii,kawaii flare leggings,purple leggings,space cat leggings,stretch leggings,training leggings,unique activewear,vibrant leggings,women's activewear,yoga wear","",""
"'1000000666338107'","vibrant-cats-everywhere-flare-leggings-1","Vibrant Cats Everywhere Flare Leggings","Flare Leggings","Cat","93.99","93.99","112.79","2XS/XS/S/M/L/XL/2XL/3XL/4XL/5XL/6XL","DAKOfits","TRUE","","activewear,all-over print,animal print,animals,athleisure,casual wear,cat leggings,cat print,comfy leggings,feline,flare leggings,dakofits,gym wear,patterned leggings,pet lovers,vibrant cats,women's activewear,workout leggings,yoga leggings","",""
"'1000000666153374'","anime-collage-cat-cafe-leggings","Anime Collage Cat Cafe Leggings","Leggings","Cat","88.99","88.99","106.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,all over print,anime,anime leggings,aop leggings,cat cafe,cat leggings,fitness leggings,fun leggings,dakofits,gym leggings,kawaii leggings,leggings,manga leggings,novelty leggings,printed leggings,womens activewear,womens leggings,yoga pants","",""
"'1000000666337307'","black-cat-constellation-leggings-3","Black Cat Constellation Leggings","Leggings","Cat","88.99","88.99","106.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,all-over print,animal print leggings,black cat leggings,cat leggings,celestial leggings,constellation leggings,galaxy leggings,dakofits,gold leggings,leggings,midnight blue leggings,silver leggings,space leggings,women's leggings,yoga pants","",""
"'1000000665906751'","bright-white-cat-leggings","Bright White Cat Leggings","Leggings","Cat","88.99","88.99","106.99","XS/S/M/L/XL","DAKOfits","TRUE","","animal,bright,cat,colorful,colorful vibrant,mysterybox,vibrant,white","",""
"'1000000665805705'","cat-leggings","Cat Leggings","Leggings","Cat","88.99","88.99","106.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,animal,cat,colorful,colorful vibrant,mysterybox,sport,sports","",""
"'1000000665906799'","cute-kitties-leggings","Cute Kitties Leggings","Leggings","Cat","88.99","88.99","106.99","XS/S/M/L/XL","DAKOfits","TRUE","","animal,cat,cute,mysterybox","",""
"'1000000665914415'","farm-animals-leggings","Farm Animals Leggings","Leggings","Cat","88.99","88.99","106.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,animal,black,brown,cat,colorful,colorful vibrant,cow,dark brown,duck,goat,horse,light brown,pig,pink,rabbit,rooster,sport,sports,turkey,white","",""
"'1000000665912603'","kawaii-lucky-cat-leggings","Kawaii - Lucky Cat Leggings","Leggings","Cat","88.99","88.99","106.99","XS/S/M/L/XL","DAKOfits","TRUE","","2nd skin,active wear,activewear,animal,animal themed,animals,baby blue,baby pink,birthday,birthday cake,blue,bright,bright blue,bright pink,bright purple,bright yellow,cartoon,cat,cats,colorful,colorful and vibrant,colorful vibrant,crossfit,cup cake,cupcake,cute,dance,dancewear,edm,edm wear,festival,festival wear,fitness,fitness leggings,flower,flowers,gold,gym,gym / workout,gymwear,heart,hearts,hot pink,japanese,kawaii,lavender,leggings,leggings sportswear,lucky,lucky cat,maneki neko,money,oriental,pink,purple,rainbow,soft,soft blue,soft pink,sport,sports,sports wear,sportswear,traditional,vibrant,yoga,yoga leggings,yoga wear,yogaleggings,yogawear,zen,zen yoga","",""
"'1000000665913647'","kawaii-colorful-leggings","Kawaii Colorful Leggings","Leggings","Cat","88.99","88.99","106.99","XS/S/M/L/XL","DAKOfits","TRUE","","2nd skin,active wear,activewear,blue,bright,bright blue,bright green,bright orange,bright pink,bright purple,bright red,bright yellow,colorful,colorful and vibrant,colorful vibrant,crossfit,cyan,dance,dancewear,dark pink,edm,edm wear,eye,eyes,festival,festival wear,fitness,fitness leggings,green,gym,gym / workout,gymwear,kawaii,leggings,leggings sportswear,lucky,lucky cat,party pants,patchwork,pink,purple,rainbow,rave,rave wear,ravewear,red,retro,sport,sports,sports wear,sportswear,teal,vibrant,yellow,yoga,yoga leggings,yoga wear,yogaleggings,yogawear,zen,zen yoga","",""
"'1000000665923279'","kawaii-space-cats-leggings","Kawaii Space Cats Leggings","Leggings","Cat","88.99","88.99","106.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,all over print,animals,cat leggings,cats,cute,exercise leggings,dakofits,kawaii,kawaii leggings,leggings,printed leggings,purple leggings,running leggings,space cats,space leggings,training leggings,women's activewear,women's leggings,yoga pants","",""
"'1000000665912232'","lucky-cat-leggings","Lucky Cat Leggings","Leggings","Cat","88.99","88.99","106.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,animal,bright,colorful,colorful vibrant,japanese,lucky cat,oriental,sport,sports,yoga,zen,zen yoga","",""
"'1000000665906553'","scratching-cat-leggings","Scratching Cat Leggings","Leggings","Cat","88.99","88.99","106.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,animal,black,brown,cat,mysterybox,sport,sports","",""
"'1000000665914429'","tiger-skin-leggings","Tiger Skin Leggings","Leggings","Cat","88.99","88.99","106.99","XS/S/M/L/XL","DAKOfits","TRUE","","2nd skin,active wear,activewear,animal,animal print,animal skin,animal themed,animals,black,brown,colorful,colorful and vibrant,colorful vibrant,fierce,fur,leggings,leggings sportswear,leopard,light brown,orange,realistic,skin,sport,sports,sports wear,sportswear,stripe,striped,stripes,tiger,tiger skin,vibrant,wild,wild animal,wild cat,yoga,yoga leggings,yoga wear,yogaleggings,yogawear,zen,zen yoga","",""
"'1000000665805880'","vibrant-space-cat-leggings","Vibrant Space Cat Leggings","Leggings","Cat","88.99","88.99","106.99","XS/S/M/L/XL","DAKOfits","TRUE","","animal,cat,colorful vibrant,mysterybox,spacecat,vibrant","",""
"'1000000666337336'","anime-collage-cat-cafe-meggings","Anime Cat Cafe Meggings","Meggings","Cat","88.99","88.99","106.99","XS/S/M/L/XL/2XL/3XL","DAKOfits","TRUE","","activewear leggings,all-over print,anime,anime cat cafe,anime meggings,bold leggings,cat cafe meggings,dakofits,kawaii fashion,manga leggings,novelty leggings,printed leggings,sports leggings,training leggings,vibrant activewear,women's meggings,yoga pants","",""
"'1000000666337239'","black-cat-constellation-meggings","Black Cat Constellation Meggings","Meggings","Cat","88.99","88.99","106.99","XS/S/M/L/XL/2XL/3XL","DAKOfits","TRUE","","activewear,all-over print,black cat,black cat meggings,cat lover,celestial,constellation,constellation meggings,fitness apparel,dakofits,gym leggings,high waisted leggings,leggings,meggings,running leggings,training leggings,women's activewear,women's leggings,yoga pants","",""
"'1000000666337219'","kawaii-space-cats-meggings","Kawaii Space Cats Meggings","Meggings","Cat","88.99","88.99","106.99","XS/S/M/L/XL/2XL/3XL","DAKOfits","TRUE","","all-over print,cat leggings,cute leggings,fitness apparel,dakofits,gym leggings,kawaii,kawaii fashion,kawaii meggings,kawaii space,leggings,meggings,neon leggings,printed leggings,space cats,space theme,vibrant print,women's activewear,yoga pants","",""
"'1000000665917240'","leopard-skin-meggings","Leopard Skin Meggings","Meggings","Cat","88.99","88.99","106.99","XS/S/M/L/XL/2XL/3XL","DAKOfits","TRUE","","2nd skin,active wear,activewear,animal,animal print,animal skin,animal themed,black,bright,brown,cat,colorful,colorful and vibrant,colorful vibrant,crossfit,dance,dancewear,dark,dark brown,deep yellow,fake fur,faux fur,feline,fitness,fitness leggings,gym,gym / workout,gymwear,leggings,leggings sportswear,leopard,light brown,men,mens,mens leggings,orange,sport,sports,sports wear,sportswear,vibrant,yellow,yoga,yoga leggings,yoga wear,yogaleggings,yogawear,zen,zen yoga","",""
"'1000000666337369'","vibrant-cats-everywhere-meggings","Vibrant Cats Everywhere Meggings","Meggings","Cat","88.99","88.99","106.99","XS/S/M/L/XL/2XL/3XL","DAKOfits","TRUE","","activewear,all-over print,animal print meggings,animals,athleisure,cat lover gift,cat meggings,exercise leggings,dakofits,gift for her,leggings,meggings,printed leggings,running tights,sportswear,vibrant cats everywhere,vibrant meggings,women's activewear,yoga pants","",""
"'1000000666337464'","anime-collage-cat-cafe-sports-bra","Anime Collage Cat Cafe Sports Bra","Sports Bra","Cat","64.99","64.99","77.99","Black/White","DAKOfits","TRUE","","activewear,all over print,anime,anime cat,anime sports bra,cartoon sports bra,cat cafe,fitness apparel,dakofits,gym wear,kawaii,manga,running bra,sports bra,women's activewear,women's sports bra,workout bra,yoga bra","",""
"'1000000666337135'","black-cat-constellation-sports-bra","Black Cat Constellation Sports Bra","Sports Bra","Cat","64.99","64.99","77.99","Black/White","DAKOfits","TRUE","","activewear,all-over print,black and gold,black cat sports bra,bohemian,boho,celestial sports bra,constellation sports bra,dakofits,gold,gym bra,midnight blue,running bra,silver,sports bra,women's activewear,workout bra,yoga bra","",""
"'1000000665913575'","cute-kitties-sports-bra","Cute Kitties Sports bra","Sports Bra","Cat","64.99","64.99","77.99","Black/White","DAKOfits","TRUE","","activewear,animal,cat,cats,colorful,colorful vibrant,cute,kittens,kitties,pink,sport,sport bra,sports,sports bra,white,yoga,zen,zen yoga","",""
"'1000000666153158'","kawaii-space-cats-sports-bra","Kawaii Space Cats Sports Bra","Sports Bra","Cat","64.99","64.99","77.99","Black/White","DAKOfits","TRUE","","activewear,all-over print,australia,cat print,cats,cute activewear,exercise bra,dakofits,gym bra,kawaii,kawaii sports bra,running bra,space,space cats,sports bra,women's sports bra,workout bra,yoga bra","",""
"'1000000665912541'","scratching-cat-sports-bra","Scratching Cat Sports bra","Sports Bra","Cat","64.99","64.99","77.99","Black/White","DAKOfits","TRUE","","activewear,animal,black,cat,sport,sport bra,sport bras,sports,sports bra","",""
"'1000000666153327'","vibrant-cats-everywhere-sports-bra","Vibrant Cats Everywhere Sports Bra","Sports Bra","Cat","64.99","64.99","77.99","Black/White","DAKOfits","TRUE","","activewear,all-over print,animal print sports bra,animals,cat print,cat sports bra,colorful sports bra,cute sports bra,fitness apparel,dakofits,gym bra,novelty sports bra,running bra,sports bra,supportive sports bra,vibrant sports bra,women's activewear,workout bra,yoga bra","",""
"'1000000666337480'","anime-collage-cat-cafe-yoga-shorts","Anime Collage Cat Cafe Yoga Shorts","Yoga Shorts","Cat","70.99","70.99","85.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,all-over print,anime,cat cafe,fitness apparel,funky yoga shorts,dakofits,graphic print,gym shorts,leggings,novelty print,printed yoga shorts,running shorts,unique prints,women's activewear,workout clothes,yoga pants,yoga shorts","",""
"'1000000666337292'","black-cat-constellation-yoga-shorts","Black Cat Constellation Yoga Shorts","Yoga Shorts","Cat","70.99","70.99","85.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear shorts,all-over print,black cat,cat constellation,celestial,constellation print,dakofits,dakofits yoga shorts,gym shorts,high waisted shorts,midnight blue,premium activewear,women's activewear,women's yoga shorts,workout shorts,yoga shorts","",""
"'1000000665914111'","leopard-skin-yoga-shorts","Leopard Skin Yoga Shorts","Yoga Shorts","Cat","70.99","70.99","85.99","XS/S/M/L/XL","DAKOfits","TRUE","","2nd skin,active wear,activewear,animal,animal print,animal skin,animal themed,bright,brown,cat,cat lady,colorful,colorful and vibrant,colorful vibrant,crossfit,dance,dancewear,dark,dark brown,fake fur,faux fur,fitness,fitness leggings,fur,gym,gym / workout,gymwear,leopard,light brown,short,shorts,skin,sport,sports,sports wear,sportswear,vibrant,yoga,yoga shorts,yoga wear,yogawear,zen,zen/yoga","",""
"'1000000665914125'","snow-leopard-skin-yoga-shorts","Snow Leopard Skin Yoga Shorts","Yoga Shorts","Cat","70.99","70.99","85.99","XS/S/M/L/XL","DAKOfits","TRUE","","active wear,activewear,animal,animal print,animal skin,black,black & white,black and white,bright,cat,cat lady,charcoal,colorful,colorful and vibrant,colorful vibrant,crossfit,dalmatian,dance,dancewear,dark gray,dark grey,fitness,fitness leggings,gray,grey,gym,gym / workout,gymwear,leopard,short,shorts,snow leopard,sport,sports,sports wear,sportswear,vibrant,white,yoga,yoga shorts,yoga wear,yogawear,zen,zen yoga","",""
"'1000000666153608'","vibrant-cats-everywhere-yoga-shorts","Vibrant Cats Everywhere Yoga Shorts","Yoga Shorts","Cat","70.99","70.99","85.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,all-over print,animal print,animals,cat lover,cat print,cat yoga shorts,dakofits,gifts for cat lovers,gym shorts,leggings,running shorts,vibrant yoga shorts,women's activewear,workout shorts,yoga apparel,yoga shorts","",""
"'1000000666337351'","dia-de-los-muertos-marigold-bike-shorts","Día de los Muertos Marigold Bike Shorts","Bike Shorts","Day-of-Dead/Mexican","64.99","64.99","77.99","XS/S/M/L/XL/2XL/3XL","DAKOfits","TRUE","","activewear,all-over print,bike shorts,día de los muertos,fitness apparel,floral,dakofits,high waisted,leggings,magenta,marigold,orange,printed bike shorts,running,sugar skull,teal,training,women's activewear,yoga","",""
"'1000000666337666'","dia-de-los-muertos-marigold-capri-leggings","Día de los Muertos Marigold Capri Leggings","Capri Leggings","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,all-over print,capri leggings,día de los muertos,festival,floral leggings,dakofits,gym leggings,leggings,leggings for women,marigold,mexican folk art,printed leggings,sugar skull,women's activewear,yoga pants","",""
"'1000000666337650'","sugar-skull-botanica-capri-leggings-1","Sugar Skull Botanica Capri Leggings","Capri Leggings","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,all-over print,botanical print,capri leggings,fitness fashion,floral,floral capri leggings,dakofits,gym leggings,leggings,leggings for women,leggings workout,printed leggings,statement leggings,sugar skull,sugar skull capri leggings,women's activewear,yoga pants","",""
"'1000000665906450'","bicycle-skull-capris","Bicycle Skull Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","bicycle,black,black and white,capri,day of the dead,mysterybox,skull,skulls,white","",""
"'1000000665906485'","biker-skull-capris","Biker Skull Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","biker,black,black and white,capri,day of the dead,mysterybox,skull,skulls,white","",""
"'1000000665805888'","black-white-sugar-skull-capris","Black & White Sugar Skull Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","black,black and white,capri,day of the dead,dia de los muertos,mysterybox,pp_skulls,skull,skulls,sugar skull,sugar skulls,white","",""
"'1000000665805915'","blue-floral-skulls-capris","Blue Floral Skulls Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,blue,capri,capris,colorful,colorful vibrant,day of the dead,dia de los muertos,evil,floral,gothic evil,mysterybox,pp_skulls,skull,skulls,sport,sports,white","",""
"'1000000665805861'","blue-ornamental-skull-capris","Blue Ornamental Skull Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,black,blue,capri,capris,colorful,colorful vibrant,day of the dead,dia de los muertos,evil,gothic evil,mysterybox,pp_skulls,skull,skulls,sport,sports","",""
"'1000000665805902'","blue-sugar-skull-capris","Blue Sugar Skull Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","animal,biker,capri,day of the dead,dia de los muertos,mysterybox,pp_skulls,skull,skulls,sugar skull,sugar skulls,upsell5=biker,upsellgeneral,yoga,zen,zen yoga","",""
"'1000000665906760'","bright-sugar-skull-capris","Bright Sugar Skull Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","capri,colorful,colorful vibrant,day of the dead,dia de los muertos,green,mysterybox,pink,pp_skulls,purple,skull,skulls,sugar skull,sugar skulls","",""
"'1000000665914444'","calavera-cat-capris","Calavera Cat Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,animal,black,black and white,blue,bright,capri,capris,cat,cats,colorful,colorful vibrant,day of the dead,dia de los muertos,evil,gothic evil,green,pink,skull,skulls,sport,sports,vibrant,white","",""
"'1000000665805947'","colorful-dead-sugar-skull-capris","Colorful Dead - Sugar Skull Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","capri,capris,coldeadsugarskullcapriupsell,colorful,colorful vibrant,day of the dead,dia de los muertos,mysterybox,pp_skulls,skull,skulls,sugar skull,sugar skulls","",""
"'1000000665906511'","colorful-floral-skull-capris","Colorful Floral Skull Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,black,capri,capris,colorful,colorful vibrant,day of the dead,dia de los muertos,floral,mysterybox,pink,pink skulls,pink sugar skulls,pp_skulls,skull,skulls,sport,sports,sugar skull,sugar skulls","",""
"'1000000665805865'","dark-sugar-skull-capris","Dark Sugar Skull Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","capri,day of the dead,dia de los muertos,mysterybox,skull,skulls,sugar skull,sugar skulls","",""
"'1000000665912262'","day-of-the-dead-butterflies-capris","Day of the Dead - Butterflies Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,animal,butterflies,butterfly,capri,capris,colorful,colorful vibrant,day of the dead,dia de los muertos,pink,sport,sports","",""
"'1000000665914397'","deaths-head-hawkmoth-capris","Death's Head Hawkmoth Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,animal,black,black and white,capri,capris,day of the dead,dia de los muertos,evil,gothic,gothic evil,moth,skull,skulls,sport,sports,white","",""
"'1000000665923024'","festival-colorful-sugar-skull-capris","Festival Colorful Sugar Skull Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","capris,festival colorful sugar skull,festival colorful sugar skull capris,gbmr,womens capris","",""
"'1000000665913665'","ghost-face-capris","Ghost Face Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,black,black and white,capri,capris,day of the dead,dia de los muertos,evil,face,ghost,gothic,gothic evil,halloween,mask,sport,sports,white","",""
"'1000000665805913'","green-ornamental-skull-capris","Green Ornamental Skull Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,black,bright,capri,capris,colorful,colorful vibrant,day of the dead,dia de los muertos,evil,gothic evil,green,lime green,mysterybox,pp_skulls,skull,skulls,sport,sports","",""
"'1000000665906556'","grim-reaper-capris","Grim Reaper Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","capri,death,dia de los muertos,evil,gothic,gothic evil,mysterybox,skeleton,skull,skulls","",""
"'1000000665906527'","king-and-queen-capris","King and Queen Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,black,black and white,capri,capris,cards,day of the dead,dia de los muertos,evil,gothic,gothic evil,halloween,mysterybox,skull,skulls,sport,sports,upsellgeneral,white","",""
"'1000000665805921'","lime-green-sugar-skull-capris","Lime Green Sugar Skull Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","capri,day of the dead,dia de los muertos,green,lime,mysterybox,pp_skulls,skull,skulls,sugar skull,sugar skulls","",""
"'1000000665906452'","mechanic-skull-capris","Mechanic Skull Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","black,black and white,capri,car,day of the dead,mysterybox,skull,skulls,white","",""
"'1000000665912368'","mermaid-skeleton-capris","Mermaid Skeleton Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","activewear,black,black and white,capri,capris,day of the dead,dia de los muertos,evil,gothic,gothic evil,skull,sport,sports","",""
"'1000000665906739'","native-chief-skull-capris","Native Chief Skull Capris","Capris","Day-of-Dead/Mexican","80.99","80.99","97.99","XS/S/M/L/XL","DAKOfits","TRUE","","black and white,capri,day of the dead,gothic,gothic evil,mysterybox,native american,native pride,skull","",""
